[بسم, 115]
 [استوى, 9]
 [فسواهن, 1]
 [سبع, 14]
 [سماوات, 5]
 [وهو, 171]
 [بكل, 34]
 [عليم, 106]
 [وإذ, 72]
 [قال, 416]
 [ربك, 220]
 [للملائكة, 9]
 [إني, 131]
 [جاعل, 2]
 [خليفة, 2]
 [أتجعل, 1]
 [يفسد, 1]
 [ويسفك, 1]
 [الدماء, 1]
 [ونحن, 15]
 [نسبح, 1]
 [بحمدك, 1]
 [ونقدس, 1]
 [لك, 71]
 [أعلم, 55]
 [وعلم, 2]
 [آدم, 20]
 [الأسماء, 5]
 [كلها, 5]
 [عرضهم, 1]
 [الملائكة, 38]
 [فقال, 27]
 [أنبئوني, 1]
 [بأسماء, 1]
 [هؤلاء, 41]
 [سبحانك, 9]
 [علم, 60]
 [لنا, 83]
 [علمتنا, 1]
 [إنك, 50]
 [أنت, 55]
 [العليم, 32]
 [الحكيم, 42]
 [أنبئهم, 1]
 [بأسمائهم, 2]
 [أنبأهم, 1]
 [ألم, 78]
 [أقل, 6]
 [غيب, 6]
 [السماوات, 182]
 [والأرض, 157]
 [وأعلم, 3]
 [تبدون, 3]
 [تكتمون, 5]
 [قلنا, 14]
 [اسجدوا, 6]
 [لآدم, 5]
 [فسجدوا, 5]
 [إبليس, 11]
 [أبى, 3]
 [واستكبر, 3]
 [وكان, 84]
 [الكافرين, 52]
 [وقلنا, 6]
 [اسكن, 2]
 [وزوجك, 2]
 [الجنة, 56]
 [وكلا, 10]
 [رغدا, 3]
 [حيث, 29]
 [شئتما, 2]
 [تقربا, 2]
 [هذه, 46]
 [الشجرة, 7]
 [فتكونا, 2]
 [الظالمين, 64]
 [فأزلهما, 1]
 [الشيطان, 63]
 [عنها, 24]
 [فأخرجهما, 1]
 [كانا, 2]
 [اهبطوا, 4]
 [بعضكم, 20]
 [لبعض, 9]
 [عدو, 23]
 [ولكم, 19]
 [مستقر, 5]
 [ومتاع, 3]
 [حين, 29]
 [فتلقى, 2]
 [ربه, 73]
 [كلمات, 3]
 [فتاب, 5]
 [عليه, 146]
 [إنه, 147]
 [التواب, 6]
 [فإما, 7]
 [يأتينكم, 3]
 [مني, 11]
 [فمن, 90]
 [تبع, 4]
 [هداي, 2]
 [خوف, 16]
 [يحزنون, 13]
 [وكذبوا, 10]
 [بآياتنا, 57]
 [أصحاب, 62]
 [بني, 51]
 [إسرائيل, 42]
 [اذكروا, 9]
 [نعمتي, 6]
 [عليكم, 164]
 [وأوفوا, 5]
 [بعهدي, 1]
 [أوف, 1]
 [بعهدكم, 1]
 [وإياي, 3]
 [فارهبون, 2]
 [وآمنوا, 7]
 [أنزلت, 9]
 [مصدقا, 11]
 [لما, 74]
 [تكونوا, 21]
 [أول, 20]
 [كافر, 3]
 [تشتروا, 3]
 [بآياتي, 4]
 [ثمنا, 10]
 [قليلا, 55]
 [فاتقون, 4]
 [تلبسوا, 1]
 [بالباطل, 9]
 [وتكتموا, 1]
 [وأقيموا, 11]
 [وآتوا, 15]
 [الزكاة, 26]
 [واركعوا, 1]
 [مع, 58]
 [الراكعين, 2]
 [أتأمرون, 1]
 [بالبر, 2]
 [وتنسون, 2]
 [أنفسكم, 38]
 [تتلون, 1]
 [أفلا, 45]
 [تعقلون, 24]
 [واستعينوا, 1]
 [بالصبر, 4]
 [والصلاة, 3]
 [وإنها, 2]
 [لكبيرة, 2]
 [الخاشعين, 1]
 [يظنون, 5]
 [أنهم, 41]
 [ملاقو, 3]
 [وأنهم, 5]
 [راجعون, 4]
 [وأني, 2]
 [فضلتكم, 2]
 [واتقوا, 42]
 [يوما, 16]
 [تجزي, 2]
 [نفس, 47]
 [عن, 223]
 [شيئا, 77]
 [يقبل, 6]
 [شفاعة, 6]
 [يؤخذ, 4]
 [عدل, 7]
 [ينصرون, 13]
 [نجيناكم, 1]
 [آل, 22]
 [فرعون, 67]
 [يسومونكم, 3]
 [سوء, 30]
 [العذاب, 85]
 [يذبحون, 1]
 [أبناءكم, 4]
 [ويستحيون, 3]
 [نساءكم, 3]
 [وفي, 33]
 [ذلكم, 44]
 [بلاء, 5]
 [فرقنا, 1]
 [البحر, 23]
 [فأنجيناكم, 1]
 [وأغرقنا, 4]
 [تنظرون, 7]
 [واعدنا, 1]
 [موسى, 129]
 [أربعين, 4]
 [ليلة, 8]
 [اتخذتم, 4]
 [العجل, 6]
 [بعده, 21]
 [ظالمون, 7]
 [عفونا, 1]
 [عنكم, 24]
 [تشكرون, 19]
 [آتينا, 19]
 [والفرقان, 2]
 [تهتدون, 6]
 [لقومه, 13]
 [قوم, 126]
 [إنكم, 31]
 [ظلمتم, 2]
 [باتخاذكم, 1]
 [فتوبوا, 1]
 [بارئكم, 2]
 [فاقتلوا, 2]
 [خير, 116]
 [عند, 119]
 [قلتم, 9]
 [لن, 59]
 [نؤمن, 10]
 [حتى, 142]
 [نرى, 6]
 [جهرة, 3]
 [فأخذتكم, 1]
 [الصاعقة, 3]
 [بعثناكم, 1]
 [موتكم, 1]
 [وظللنا, 2]
 [الغمام, 3]
 [وأنزلنا, 12]
 [المن, 3]
 [والسلوى, 3]
 [كلوا, 15]
 [طيبات, 7]
 [رزقناكم, 7]
 [ظلمونا, 2]
 [يظلمون, 28]
 [ادخلوا, 13]
 [القرية, 10]
 [فكلوا, 7]
 [شئتم, 5]
 [وادخلوا, 3]
 [الباب, 6]
 [سجدا, 11]
 [وقولوا, 8]
 [حطة, 2]
 [نغفر, 2]
 [خطاياكم, 2]
 [وسنزيد, 1]
 [المحسنين, 30]
 [فبدل, 2]
 [ظلموا, 42]
 [قولا, 19]
 [فأنزلنا, 3]
 [رجزا, 3]
 [يفسقون, 5]
 [استسقى, 1]
 [فقلنا, 6]
 [اضرب, 3]
 [بعصاك, 3]
 [الحجر, 3]
 [فانفجرت, 1]
 [منه, 88]
 [اثنتا, 2]
 [عشرة, 5]
 [عينا, 6]
 [قد, 126]
 [أناس, 5]
 [مشربهم, 2]
 [واشربوا, 6]
 [رزق, 6]
 [تعثوا, 5]
 [مفسدين, 5]
 [نصبر, 1]
 [طعام, 11]
 [واحد, 18]
 [فادع, 2]
 [يخرج, 17]
 [تنبت, 3]
 [بقلها, 1]
 [وقثائها, 1]
 [وفومها, 1]
 [وعدسها, 1]
 [وبصلها, 1]
 [أتستبدلون, 1]
 [أدنى, 9]
 [بالذي, 11]
 [مصرا, 1]
 [سألتم, 1]
 [وضربت, 2]
 [الذلة, 2]
 [والمسكنة, 1]
 [وباءوا, 2]
 [بغضب, 4]
 [بأنهم, 26]
 [يكفرون, 12]
 [بآيات, 34]
 [ويقتلون, 5]
 [النبيين, 9]
 [بغير, 41]
 [عصوا, 3]
 [وكانوا, 35]
 [يعتدون, 3]
 [هادوا, 10]
 [والنصارى, 5]
 [والصابئين, 2]
 [واليوم, 23]
 [وعمل, 11]
 [صالحا, 36]
 [فلهم, 6]
 [أجرهم, 12]
 [أخذنا, 12]
 [ميثاقكم, 4]
 [ورفعنا, 5]
 [فوقكم, 6]
 [الطور, 7]
 [خذوا, 5]
 [آتيناكم, 3]
 [بقوة, 6]
 [واذكروا, 13]
 [توليتم, 8]
 [فلولا, 13]
 [فضل, 31]
 [ورحمته, 7]
 [لكنتم, 1]
 [الخاسرين, 13]
 [ولقد, 129]
 [علمتم, 6]
 [اعتدوا, 1]
 [منكم, 107]
 [السبت, 5]
 [كونوا, 9]
 [قردة, 2]
 [خاسئين, 2]
 [فجعلناها, 2]
 [نكالا, 2]
 [بين, 80]
 [يديها, 1]
 [خلفها, 1]
 [وموعظة, 5]
 [يأمركم, 5]
 [تذبحوا, 1]
 [بقرة, 4]
 [أتتخذنا, 1]
 [هزوا, 11]
 [أعوذ, 6]
 [أكون, 9]
 [الجاهلين, 6]
 [ادع, 6]
 [يبين, 17]
 [هي, 47]
 [إنها, 15]
 [فارض, 1]
 [بكر, 1]
 [عوان, 1]
 [فافعلوا, 1]
 [تؤمرون, 2]
 [لونها, 2]
 [صفراء, 1]
 [فاقع, 1]
 [تسر, 1]
 [الناظرين, 1]
 [البقر, 3]
 [تشابه, 2]
 [علينا, 51]
 [وإنا, 33]
 [لمهتدون, 2]
 [ذلول, 1]
 [تثير, 1]
 [تسقي, 1]
 [الحرث, 4]
 [مسلمة, 4]
 [شية, 1]
 [الآن, 5]
 [جئت, 6]
 [بالحق, 74]
 [فذبحوها, 1]
 [كادوا, 4]
 [يفعلون, 13]
 [قتلتم, 3]
 [نفسا, 14]
 [فادارأتم, 1]
 [مخرج, 3]
 [اضربوه, 1]
 [ببعضها, 1]
 [كذلك, 86]
 [يحيي, 18]
 [الموتى, 16]
 [ويريكم, 2]
 [آياته, 31]
 [قست, 2]
 [قلوبكم, 14]
 [فهي, 5]
 [كالحجارة, 1]
 [أشد, 28]
 [قسوة, 1]
 [الحجارة, 1]
 [يتفجر, 1]
 [يشقق, 1]
 [فيخرج, 1]
 [الماء, 17]
 [يهبط, 1]
 [خشية, 6]
 [بغافل, 9]
 [عما, 47]
 [تعملون, 83]
 [أفتطمعون, 1]
 [يؤمنوا, 12]
 [وقد, 43]
 [كان, 323]
 [فريق, 13]
 [منهم, 153]
 [يسمعون, 20]
 [كلام, 3]
 [يحرفونه, 1]
 [عقلوه, 1]
 [خلا, 2]
 [بعضهم, 33]
 [بعض, 61]
 [أتحدثونهم, 1]
 [فتح, 2]
 [ليحاجوكم, 1]
 [أولا, 3]
 [يعلم, 71]
 [يسرون, 4]
 [يعلنون, 6]
 [ومنهم, 26]
 [أميون, 1]
 [أماني, 2]
 [فويل, 9]
 [للذين, 80]
 [يكتبون, 5]
 [بأيديهم, 3]
 [يقولون, 51]
 [ليشتروا, 1]
 [كتبت, 2]
 [أيديهم, 33]
 [وويل, 3]
 [يكسبون, 14]
 [وقالوا, 61]
 [تمسنا, 2]
 [أياما, 3]
 [معدودة, 3]
 [قل, 294]
 [أتخذتم, 1]
 [عهدا, 4]
 [فلن, 22]
 [يخلف, 6]
 [عهده, 1]
 [تقولون, 6]
 [بلى, 22]
 [كسب, 3]
 [سيئة, 12]
 [وأحاطت, 1]
 [خطيئته, 1]
 [فأولئك, 46]
 [ميثاق, 9]
 [تعبدون, 20]
 [وبالوالدين, 4]
 [إحسانا, 6]
 [وذي, 1]
 [القربى, 12]
 [واليتامى, 7]
 [والمساكين, 9]
 [للناس, 51]
 [حسنا, 23]
 [معرضون, 14]
 [تسفكون, 1]
 [دماءكم, 1]
 [تخرجون, 5]
 [دياركم, 4]
 [أقررتم, 1]
 [تشهدون, 3]
 [أنتم, 80]
 [تقتلون, 4]
 [وتخرجون, 1]
 [فريقا, 10]
 [ديارهم, 9]
 [تظاهرون, 2]
 [بالإثم, 5]
 [والعدوان, 5]
 [يأتوكم, 1]
 [أسارى, 1]
 [تفادوهم, 1]
 [محرم, 1]
 [إخراجهم, 1]
 [أفتؤمنون, 1]
 [ببعض, 15]
 [وتكفرون, 1]
 [جزاء, 29]
 [يفعل, 17]
 [خزي, 6]
 [الحياة, 63]
 [الدنيا, 115]
 [ويوم, 44]
 [القيامة, 70]
 [يردون, 2]
 [بالآخرة, 21]
 [يخفف, 7]
 [عنهم, 75]
 [وقفينا, 3]
 [بالرسل, 1]
 [وآتينا, 7]
 [عيسى, 16]
 [ابن, 29]
 [مريم, 33]
 [البينات, 11]
 [وأيدناه, 2]
 [بروح, 4]
 [القدس, 4]
 [أفكلما, 1]
 [جاءكم, 25]
 [رسول, 52]
 [تهوى, 3]
 [استكبرتم, 1]
 [ففريقا, 1]
 [كذبتم, 2]
 [وفريقا, 3]
 [قلوبنا, 6]
 [غلف, 2]
 [بل, 127]
 [لعنهم, 5]
 [بكفرهم, 4]
 [فقليلا, 1]
 [ولما, 32]
 [جاءهم, 41]
 [كتاب, 47]
 [مصدق, 5]
 [معهم, 14]
 [يستفتحون, 1]
 [عرفوا, 2]
 [فلعنة, 1]
 [بئسما, 3]
 [يكفروا, 3]
 [بغيا, 8]
 [ينزل, 17]
 [فضله, 28]
 [يشاء, 116]
 [عباده, 25]
 [فباءوا, 1]
 [غضب, 8]
 [وللكافرين, 5]
 [مهين, 12]
 [ويكفرون, 1]
 [وراءه, 1]
 [فلم, 16]
 [أنبياء, 2]
 [مؤمنين, 34]
 [بالبينات, 24]
 [واسمعوا, 4]
 [سمعنا, 16]
 [وعصينا, 2]
 [وأشربوا, 1]
 [إيمانكم, 6]
 [كانت, 28]
 [الدار, 13]
 [الآخرة, 71]
 [خالصة, 4]
 [فتمنوا, 2]
 [يتمنوه, 1]
 [أبدا, 28]
 [قدمت, 16]
 [بالظالمين, 5]
 [ولتجدنهم, 1]
 [أحرص, 1]
 [حياة, 4]
 [أشركوا, 12]
 [يود, 5]
 [أحدهم, 7]
 [لو, 80]
 [يعمر, 4]
 [ألف, 8]
 [سنة, 14]
 [بمزحزحه, 1]
 [بصير, 27]
 [يعملون, 56]
 [عدوا, 11]
 [لجبريل, 1]
 [فإنه, 15]
 [نزله, 2]
 [قلبك, 3]
 [بإذن, 23]
 [يديه, 17]
 [وهدى, 16]
 [وبشرى, 5]
 [للمؤمنين, 15]
 [وملائكته, 5]
 [ورسله, 12]
 [وجبريل, 2]
 [وميكال, 1]
 [أنزلنا, 25]
 [آيات, 52]
 [بينات, 16]
 [يكفر, 15]
 [بها, 79]
 [الفاسقون, 9]
 [أوكلما, 1]
 [عاهدوا, 4]
 [نبذه, 1]
 [أكثرهم, 38]
 [نبذ, 1]
 [أوتوا, 32]
 [وراء, 12]
 [ظهورهم, 5]
 [كأنهم, 11]
 [واتبعوا, 11]
 [تتلو, 4]
 [الشياطين, 13]
 [ملك, 31]
 [سليمان, 10]
 [كفر, 20]
 [السحر, 6]
 [الملكين, 1]
 [ببابل, 1]
 [هاروت, 1]
 [وماروت, 1]
 [يعلمان, 1]
 [أحد, 30]
 [يقولا, 1]
 [فتنة, 22]
 [تكفر, 1]
 [فيتعلمون, 1]
 [منهما, 10]
 [يفرقون, 2]
 [المرء, 4]
 [وزوجه, 1]
 [بضارين, 1]
 [ويتعلمون, 1]
 [يضرهم, 3]
 [ينفعهم, 4]
 [علموا, 1]
 [لمن, 94]
 [اشتراه, 2]
 [له, 275]
 [خلاق, 3]
 [ولبئس, 4]
 [شروا, 1]
 [لمثوبة, 1]
 [تقولوا, 15]
 [راعنا, 1]
 [انظرنا, 1]
 [أهل, 56]
 [المشركين, 24]
 [يختص, 2]
 [برحمته, 2]
 [ذو, 25]
 [الفضل, 14]
 [العظيم, 36]
 [ننسخ, 1]
 [آية, 47]
 [ننسها, 1]
 [نأت, 1]
 [بخير, 6]
 [مثلها, 5]
 [تعلم, 9]
 [ولي, 21]
 [نصير, 9]
 [تريدون, 5]
 [تسألوا, 3]
 [رسولكم, 2]
 [سئل, 1]
 [يتبدل, 1]
 [الكفر, 11]
 [بالإيمان, 5]
 [فقد, 57]
 [ضل, 18]
 [السبيل, 28]
 [ود, 2]
 [كثير, 10]
 [يردونكم, 1]
 [كفارا, 2]
 [حسدا, 1]
 [تبين, 10]
 [فاعفوا, 1]
 [واصفحوا, 1]
 [يأتي, 22]
 [بأمره, 12]
 [تقدموا, 4]
 [لأنفسكم, 6]
 [تجدوه, 2]
 [يدخل, 8]
 [هودا, 6]
 [نصارى, 5]
 [تلك, 28]
 [أمانيهم, 1]
 [هاتوا, 4]
 [برهانكم, 4]
 [أسلم, 7]
 [وجهه, 11]
 [محسن, 4]
 [فله, 10]
 [أجره, 3]
 [وقالت, 13]
 [اليهود, 8]
 [ليست, 2]
 [النصارى, 4]
 [يتلون, 5]
 [مثل, 47]
 [قولهم, 8]
 [فالله, 6]
 [يحكم, 17]
 [بينهم, 58]
 [فيما, 24]
 [يختلفون, 10]
 [ممن, 31]
 [منع, 4]
 [مساجد, 3]
 [يذكر, 9]
 [اسمه, 5]
 [وسعى, 2]
 [خرابها, 1]
 [يدخلوها, 2]
 [خائفين, 1]
 [ولله, 27]
 [المشرق, 6]
 [والمغرب, 5]
 [فأينما, 1]
 [تولوا, 23]
 [فثم, 1]
 [وجه, 10]
 [واسع, 8]
 [اتخذ, 15]
 [ولدا, 13]
 [سبحانه, 14]
 [قانتون, 2]
 [بديع, 2]
 [قضى, 10]
 [أمرا, 17]
 [فإنما, 30]
 [كن, 11]
 [فيكون, 10]
 [وقال, 85]
 [لولا, 38]
 [يكلمنا, 1]
 [تأتينا, 4]
 [قبلهم, 52]
 [تشابهت, 1]
 [بينا, 3]
 [الآيات, 31]
 [لقوم, 51]
 [أرسلناك, 12]
 [بشيرا, 4]
 [ونذيرا, 8]
 [تسأل, 1]
 [الجحيم, 23]
 [ترضى, 2]
 [عنك, 8]
 [تتبع, 8]
 [ملتهم, 2]
 [الهدى, 22]
 [ولئن, 33]
 [اتبعت, 3]
 [أهواءهم, 12]
 [جاءك, 11]
 [العلم, 28]
 [آتيناهم, 16]
 [يتلونه, 1]
 [حق, 34]
 [تلاوته, 1]
 [تنفعها, 1]
 [ابتلى, 1]
 [إبراهيم, 62]
 [بكلمات, 2]
 [فأتمهن, 1]
 [جاعلك, 1]
 [إماما, 4]
 [ذريتي, 4]
 [ينال, 2]
 [عهدي, 1]
 [جعلنا, 29]
 [البيت, 12]
 [مثابة, 1]
 [وأمنا, 1]
 [واتخذوا, 6]
 [مقام, 7]
 [مصلى, 1]
 [وعهدنا, 1]
 [وإسماعيل, 9]
 [طهرا, 1]
 [بيتي, 3]
 [للطائفين, 2]
 [والعاكفين, 1]
 [والركع, 2]
 [السجود, 6]
 [اجعل, 6]
 [بلدا, 1]
 [وارزق, 1]
 [أهله, 14]
 [فأمتعه, 1]
 [أضطره, 1]
 [وبئس, 15]
 [المصير, 23]
 [يرفع, 2]
 [القواعد, 2]
 [ربنا, 106]
 [تقبل, 4]
 [منا, 35]
 [السميع, 19]
 [واجعلنا, 2]
 [مسلمين, 9]
 [ذريتنا, 1]
 [أمة, 49]
 [وأرنا, 1]
 [مناسكنا, 1]
 [وتب, 2]
 [وابعث, 2]
 [فيهم, 16]
 [رسولا, 23]
 [يتلو, 7]
 [آياتك, 3]
 [ويعلمهم, 3]
 [والحكمة, 11]
 [ويزكيهم, 3]
 [العزيز, 64]
 [يرغب, 1]
 [ملة, 9]
 [سفه, 1]
 [نفسه, 26]
 [اصطفيناه, 1]
 [وإنه, 24]
 [الصالحين, 19]
 [إذ, 165]
 [أسلمت, 2]
 [لرب, 4]
 [ووصى, 1]
 [بنيه, 1]
 [ويعقوب, 11]
 [اصطفى, 3]
 [تموتن, 2]
 [مسلمون, 14]
 [شهداء, 12]
 [حضر, 5]
 [يعقوب, 5]
 [لبنيه, 1]
 [بعدي, 4]
 [إلهك, 2]
 [وإله, 2]
 [آبائك, 1]
 [وإسحاق, 9]
 [إلها, 16]
 [واحدا, 5]
 [خلت, 15]
 [لها, 41]
 [كسبت, 16]
 [كسبتم, 3]
 [تسألون, 5]
 [تهتدوا, 2]
 [حنيفا, 10]
 [قولوا, 2]
 [إلينا, 19]
 [والأسباط, 4]
 [أوتي, 14]
 [وعيسى, 7]
 [النبيون, 2]
 [نفرق, 3]
 [بمثل, 6]
 [آمنتم, 8]
 [اهتدوا, 4]
 [شقاق, 5]
 [فسيكفيكهم, 1]
 [صبغة, 2]
 [أحسن, 32]
 [عابدون, 4]
 [أتحاجوننا, 1]
 [وربكم, 10]
 [ولنا, 1]
 [أعمالنا, 3]
 [أعمالكم, 9]
 [مخلصون, 1]
 [أأنتم, 7]
 [كتم, 1]
 [شهادة, 5]
 [عنده, 23]
 [سيقول, 4]
 [ولاهم, 1]
 [قبلتهم, 2]
 [عليها, 46]
 [يهدي, 43]
 [مستقيم, 26]
 [وكذلك, 38]
 [جعلناكم, 2]
 [وسطا, 1]
 [لتكونوا, 2]
 [ويكون, 3]
 [الرسول, 45]
 [شهيدا, 20]
 [القبلة, 1]
 [كنت, 51]
 [لنعلم, 4]
 [يتبع, 5]
 [ينقلب, 4]
 [عقبيه, 3]
 [ليضيع, 1]
 [بالناس, 3]
 [لرءوف, 5]
 [رحيم, 61]
 [تقلب, 3]
 [وجهك, 7]
 [فلنولينك, 1]
 [قبلة, 3]
 [ترضاها, 1]
 [فول, 3]
 [شطر, 3]
 [المسجد, 15]
 [الحرام, 23]
 [وحيث, 2]
 [فولوا, 2]
 [وجوهكم, 6]
 [شطره, 2]
 [ليعلمون, 1]
 [أتيت, 1]
 [تبعوا, 1]
 [قبلتك, 1]
 [بتابع, 2]
 [إذا, 221]
 [يعرفونه, 2]
 [يعرفون, 4]
 [أبناءهم, 5]
 [ليكتمون, 1]
 [تكونن, 9]
 [الممترين, 4]
 [ولكل, 8]
 [وجهة, 1]
 [موليها, 1]
 [فاستبقوا, 3]
 [الخيرات, 8]
 [أين, 14]
 [يأت, 10]
 [خرجت, 2]
 [للحق, 7]
 [لئلا, 3]
 [يكون, 35]
 [حجة, 3]
 [تخشوهم, 2]
 [واخشوني, 1]
 [ولأتم, 1]
 [ولعلكم, 9]
 [أرسلنا, 51]
 [فيكم, 11]
 [آياتنا, 34]
 [ويزكيكم, 1]
 [ويعلمكم, 3]
 [فاذكروني, 1]
 [أذكركم, 1]
 [واشكروا, 5]
 [لي, 63]
 [استعينوا, 2]
 [الصابرين, 10]
 [يقتل, 3]
 [سبيل, 87]
 [أموات, 2]
 [أحياء, 4]
 [تشعرون, 4]
 [ولنبلونكم, 2]
